Jugador,Champions (x5),Premier,La Liga,Serie A,Bundesliga,Ligue 1,Eredivisie,Selección (x4),Sudamérica (x3),Carrera,Carrera (x2),Goles de falta (x10),Mundiales (x40),Mundiales (x80),Final Champions (x250),Final Mundial (x600)
LAUTARO MARTINEZ,21,0,0,115,0,0,0,32,0,210,210,0,0,0,0,0
LEONARDO BONUCCI,3,0,0,33,1,0,0,0,0,55,55,0,0,0,0,0
LEWANDOWSKI,105,0,0,0,312,0,0,0,0,695,695,11,0,0,0,0
LOTHAR MATTHAUS,0,0,0,0,121,0,0,0,0,0,0,5,6,6,0,0
LUCIO,6,0,0,3,22,0,0,0,0,0,0,5,0,0,1,0
LUIS DIAZ,10,0,0,0,0,0,0,18,20,0,0,0,0,0,0,0
LUIS FIGO,24,0,68,0,0,0,0,32,0,170,170,20,0,0,0,0
LUIS SUAREZ,0,0,178,0,0,0,0,0,0,574,574,0,7,7,0,0
MARADONA,0,0,27,0,0,0,0,0,151,358,358,62,8,8,0,0
MARCEL DESAILLY,0,0,0,0,0,6,0,3,0,0,0,0,0,0,0,0
MARCELO VIEIRA,9,0,26,0,0,0,0,0,9,58,58,0,2,2,1,0
MARCO REUS,24,0,0,0,156,0,0,15,0,257,257,13,0,0,0,0
MARIO BALOTELLI,8,0,0,52,0,41,0,14,0,0,0,0,1,1,0,0
MARIO MANDZUKIC,0,0,0,0,0,0,0,33,0,235,235,0,5,5,2,1
MARQUINHOS,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0
MATT HUMMELS,5,0,0,0,33,0,0,0,0,0,0,0,2,2,0,0
MATTHIJS DE LIGT,2,0,0,8,5,0,8,2,0,0,0,0,0,0,0,0
MBAPPE,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,4
MESSI,0,0,474,0,0,0,0,0,0,874,874,0,13,13,0,2
MESUT OZIL,0,33,0,0,13,0,0,23,0,147,147,0,2,2,0,0
MICHAEL BALLACK,16,0,0,0,77,0,0,42,0,0,0,13,3,3,0,0
MICHAEL ESSIEN,11,17,0,0,0,18,0,0,0,0,0,0,0,0,0,0
MICHAEL LAUDRUP,0,0,52,25,0,0,11,37,0,173,173,0,2,2,0,0
MICHAEL OWEN,11,150,13,0,0,0,0,41,0,0,0,0,4,4,0,0
MICHEL PLATINI,0,0,0,0,0,139,0,41,0,338,338,29,5,5,0,0
MODRIC,0,13,30,0,0,0,0,27,0,0,0,4,2,2,0,0
MOHAMED SALAH,0,186,0,0,0,0,0,0,0,376,376,0,2,2,1,0
NACHO FERNANDEZ,0,0,12,0,0,0,0,1,0,0,0,0,0,0,0,0
NEMANJA VIDIC,3,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEYMAR JR,0,0,0,0,0,0,0,79,0,444,444,0,8,8,0,0
NGOLO KANTE,0,12,0,0,0,2,0,0,0,0,0,0,0,0,0,0
OLIVIER GIROUD,0,90,0,39,0,0,0,57,0,345,345,0,5,5,0,0
OUSMANE DEMBELE,19,0,24,0,6,23,0,0,0,0,0,1,0,0,0,0
PAOLO MALDINI,2,0,0,29,0,0,0,7,0,0,0,0,0,0,1,0
PATRICK KLUIVERT,29,0,90,0,0,0,0,40,0,246,246,0,2,2,1,0
PATRICK VIEIRA,3,0,0,11,0,2,0,0,0,0,0,0,2,2,0,0
PAUL POGBA,0,29,0,28,0,0,0,0,0,100,100,0,2,2,0,1
PAUL SCHOLES,24,107,0,0,0,0,0,14,0,169,169,0,1,1,0,0
PAVEL NEDVED,15,0,0,73,0,0,0,18,0,164,164,0,0,0,0,0
PEDRO RODRIGUEZ,0,0,58,29,0,0,0,17,0,0,0,0,0,0,1,0
PELE,0,0,0,0,0,0,0,0,643,767,767,0,0,0,0,3
PEPE,0,0,13,0,0,0,0,0,0,50,50,0,2,2,0,0
PETER CROUCH,0,107,0,0,0,0,0,0,0,0,0,0,1,1,0,0
PHIL FODEN,18,61,0,0,0,0,0,0,0,122,122,0,1,1,0,0
PHILIPP LAHM,0,0,0,0,13,0,0,0,0,0,0,0,1,1,0,0
PIQUE,16,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0
PIRLO,0,0,0,58,0,0,0,0,0,0,0,43,1,1,0,0
PUSKAS,0,0,156,0,0,0,0,0,0,725,725,0,0,0,7,1
PUYOL,0,0,13,0,0,0,0,0,0,28,28,0,1,1,0,0
RADAMEL FALCAO,0,0,61,0,0,65,0,36,0,353,353,0,0,0,0,0
RAFA MARQUEZ,1,0,9,0,0,0,0,17,0,38,38,10,3,3,0,0
RAPHAEL GUERREIRO,10,0,0,0,37,10,0,0,0,64,64,0,1,1,0,0
RAPHAEL VARANE,0,0,8,0,0,2,0,0,0,30,30,0,1,1,0,0
RAUL GONZALEZ,71,0,228,0,0,0,0,0,0,443,443,0,5,5,2,0
RIO FERDINAND,0,11,0,0,0,0,0,0,0,16,16,0,0,0,0,0
RIQUELME,3,0,0,0,0,0,0,17,100,129,129,29,0,0,0,0
RIVALDO,0,0,107,0,0,0,0,0,155,477,477,31,8,8,0,0
ROBBIE KEANE,0,126,0,0,0,0,0,68,0,392,392,0,0,0,0,0
